model,RMSE,MAE,R2
LSTM_Adyar,1.0035743858914434,0.8731956863396181,0.49649462829408686
LSTM_Anna Nagar,0.6066582559242597,0.5016012348867822,0.29763621206224145
LSTM_Avadi,1.3105078499909235,1.1984893682247806,-138.46101225092562
LSTM_Chromepet,1.5453008697981288,1.2910353916416955,0.21671739997441963
LSTM_Manali,1.798702518913935,1.7197244485406376,-862.0167919971246
LSTM_Perambur,0.508738333355915,0.43380451633819206,-0.7137223330182827
LSTM_Porur,1.4097691870329818,1.223437595417312,-0.07314328475656762
LSTM_Sholinganallur,2.1012574740077716,1.9262920316507912,-1.8224608181310802
LSTM_Tambaram,0.9651981207508271,0.862420694397347,-33.04227033466715
LSTM_Velachery,4.462273704644681,4.105654250171758,-2.5435352679860594
